Hwage,Educ,Exper,Female,Union
9,10,27,0,0
5.5,12,20,0,0
3.8,12,4,1,0
10.5,12,29,1,0
15,12,40,0,1
9,16,27,1,0
9.57,12,5,1,1
15,14,22,0,0
11,8,42,0,0
5,12,14,1,0
24.98,17,18,0,0
20.4,17,3,0,0
25,14,4,0,1
13.98,14,14,0,0
3.5,12,35,0,0
5,14,0,0,0
10,16,7,0,1
15,16,26,0,1
5.83,13,3,0,0
9.1,13,16,0,0
11.25,17,32,1,0
13,12,25,0,1
8,14,15,1,1
4.28,12,38,1,0
7.88,16,17,0,0
6.94,12,7,1,0
24.98,17,5,1,0
10,14,22,0,0
13.75,14,21,0,0
5.62,13,2,1,0
14.67,14,16,0,0
24.98,16,18,0,0
12,12,14,0,0
15,18,12,0,0
5.77,16,3,0,0
12.65,17,13,1,0
11.71,16,42,1,0
13,12,8,0,0
12.5,15,6,1,0
22.5,16,22,0,0
11.25,16,3,1,0
15.38,16,33,0,0
7.7,13,8,1,1
11.84,12,26,0,0
5,14,0,0,0
6.5,12,28,0,0
9,8,33,0,1
3.35,12,0,0,0
4.5,12,7,1,0
10.53,14,12,1,0
3.5,9,47,0,1
15,16,12,0,0
8.5,12,25,1,0
9.17,12,44,1,0
9.6,9,33,0,1
6.88,8,22,1,0
13.95,18,14,1,0
10,14,22,0,0
3.75,12,41,1,0
8,12,8,1,0
11.67,12,43,1,0
8.89,8,29,1,0
4,12,6,0,1
5.5,12,21,1,0
3.35,16,3,0,0
10.81,12,40,1,0
7,12,5,0,0
10,13,34,0,1
5.4,16,10,1,0
7.5,12,10,1,0
11.25,12,41,0,1
10,10,25,1,1
4,13,0,0,0
13.51,18,14,0,1
6.75,12,22,0,0
14.29,14,32,1,0
9.75,15,9,1,0
3.35,12,0,1,0
3.4,8,49,1,0
5.62,14,32,1,0
7,12,7,0,1
10,16,10,1,0
6.1,10,44,1,1
4.17,12,27,1,0
4.8,12,16,1,0
5.75,12,3,0,0
4.75,12,8,0,0
9.37,17,7,0,1
5.25,12,8,1,0
4.95,9,42,1,0
19.38,16,11,1,0
19.98,12,23,0,0
4,12,4,0,0
5,12,0,1,0
10.58,14,25,0,0
10,12,22,0,1
7.38,14,15,1,0
12.5,15,10,0,0
4,16,20,1,0
15.03,12,24,1,0
16,12,12,0,0
3.56,12,12,1,0
4.5,12,16,0,0
4.55,12,4,1,0
3.6,12,43,1,0
8,12,14,1,0
4.75,12,10,1,0
6.73,12,2,0,0
11.11,12,28,0,0
6,7,15,1,0
10,12,20,0,0
11.25,12,30,1,0
3.95,12,9,1,0
17.5,16,13,0,0
3.55,13,1,1,0
6,16,8,0,0
22,14,15,0,0
6.25,12,6,1,0
4.5,7,14,0,0
10.32,13,28,1,0
12.2,14,10,0,0
18.16,17,14,0,0
15,16,10,0,0
8.75,13,10,1,0
19.98,14,44,0,0
6.67,16,10,1,1
9.63,14,22,0,1
5.5,11,18,0,1
8,12,9,1,0
20,18,19,1,0
9.5,17,14,1,0
11.79,16,6,1,1
13.89,16,17,1,0
5.5,11,24,1,0
7,11,12,1,0
9.65,12,38,1,0
10.61,15,33,1,0
12,14,10,1,0
8.56,14,14,1,0
16.14,14,16,0,0
3.75,11,11,0,0
9,16,6,1,0
13.12,12,33,1,0
13.2,16,10,0,0
9.25,12,19,0,0
5,12,4,0,0
6,17,3,1,1
7,12,32,1,0
4.7,8,19,0,0
7.5,16,22,1,0
7,18,33,0,0
11.22,18,19,0,0
5.71,18,3,0,0
5.5,12,12,0,0
9,12,16,0,0
4.13,12,4,1,0
10,12,11,0,1
7.5,12,17,0,0
3.65,11,16,0,0
8.89,12,18,0,0
18,18,15,0,0
3.35,14,0,0,0
13.45,16,8,0,0
22.5,16,17,0,0
19,18,13,0,0
8.93,12,18,1,0
7,11,16,1,0
4.17,14,24,1,0
9.83,12,23,0,0
6.67,12,1,0,0
7,12,10,1,1
3.64,12,42,1,0
22.83,18,37,1,0
5,12,14,1,0
22.5,18,14,0,0
12,12,11,1,0
6.28,12,38,1,0
4.5,12,3,1,0
6,12,9,0,0
6.75,10,13,0,0
8.75,12,9,0,0
13.28,16,11,0,0
6.25,13,30,1,0
8.99,12,15,1,1
7.5,14,2,0,0
12,17,24,1,0
14,18,31,1,1
16.42,14,19,0,0
6.25,14,2,0,0
10.5,12,4,0,1
9.5,9,46,1,1
3,6,43,1,1
9.22,14,13,1,0
4,12,15,1,0
3.8,12,16,1,0
6,12,19,1,0
5,12,28,1,0
15,12,42,0,0
5.55,11,45,1,1
9,16,7,0,0
24.98,17,31,0,0
8.49,12,24,1,0
5,14,17,1,0
22.2,12,26,0,1
9.24,16,5,0,1
8,16,17,1,0
3.5,10,33,1,0
3.35,13,2,1,0
3.35,16,14,1,0
20,16,28,1,1
4,12,46,1,0
18,16,38,0,0
4.5,13,0,1,0
7.81,12,1,1,0
1.75,12,5,1,0
5.2,18,13,1,0
8.75,10,19,0,0
5,12,5,0,0
3.75,12,6,1,0
5.95,13,9,0,0
4,12,7,0,0
5,17,1,1,0
4.62,6,33,1,0
5.75,12,21,1,0
24.98,18,29,0,0
15.79,18,7,0,0
15.56,16,10,0,0
3.35,16,9,0,0
18.16,18,7,0,0
8,18,33,0,1
6,13,31,0,0
17.25,18,5,0,0
5.5,16,2,1,0
7.65,12,20,0,0
6.25,16,4,0,0
6.4,12,45,1,0
6.58,12,24,1,0
12.5,12,43,0,0
13.33,18,10,0,0
5.5,12,3,0,0
11.25,15,5,0,0
10.62,12,45,1,0
8,12,43,1,1
10.2,17,26,1,1
5.79,12,42,1,0
7.3,12,37,0,0
10.5,13,14,1,0
9.36,12,8,0,0
5.2,12,24,1,0
4.25,12,20,1,0
15.95,17,13,1,1
22.5,15,12,0,0
5,16,4,1,0
5.3,12,14,0,0
6.25,18,14,0,0
10,18,13,1,0
5.5,12,20,0,0
6.8,9,30,1,0
3,12,28,1,0
10,16,14,0,1
4.85,10,13,0,0
9.42,12,32,0,0
6,15,26,1,0
4.25,13,0,1,0
11.02,14,12,0,1
12.16,12,32,1,0
8.43,12,12,0,0
11.43,12,3,0,0
19.98,9,29,0,0
6.88,14,10,1,0
5.71,12,16,1,1
3.35,12,8,1,0
4.85,9,16,1,0
5.75,12,15,1,0
5.4,12,18,1,0
13.16,12,38,1,0
11.32,12,13,1,0
8.75,13,18,0,0
12.22,12,19,0,1
5.25,10,15,0,0
5.56,14,5,0,0
4.59,12,36,1,0
7.5,12,38,0,0
12,12,5,0,0
16,12,35,0,1
3.35,11,3,0,0
4.45,10,27,0,0
4.25,12,29,1,0
13.1,10,38,1,0
7,10,9,0,0
5.75,6,45,0,0
6.5,8,27,0,0
7.61,12,20,0,0
20.5,16,14,0,1
6.25,12,1,0,0
3.84,11,25,1,0
16.65,14,21,0,0
11.25,17,10,1,0
5.65,14,2,0,0
6.5,11,17,0,0
7.75,12,24,1,0
6.93,12,26,0,1
15,12,39,0,1
7,7,42,0,1
3.35,7,43,0,0
6.5,12,5,0,0
6.25,16,7,1,0
5,13,6,1,0
3.45,13,1,1,0
8.8,14,41,0,0
10,16,4,1,0
4,11,25,1,1
9.5,12,39,1,0
10.43,14,15,1,0
5.21,18,10,0,0
7.5,12,20,1,0
7,17,2,0,0
10.78,11,28,0,1
8.9,10,27,0,1
3.75,16,13,1,0
3.75,15,4,0,0
9.45,12,13,0,0
15,12,33,0,1
3.6,12,6,1,0
12,18,23,0,1
10.62,16,6,1,0
14,16,16,1,0
5,16,3,0,1
11.5,12,19,0,1
13.71,12,43,0,1
10.62,12,34,0,0
7.45,12,25,1,0
6.75,10,41,0,1
5.87,17,6,1,0
3.43,12,2,0,0
4.35,8,37,1,0
13,12,19,0,1
3.51,10,37,1,0
4.3,13,8,0,0
5.85,18,12,0,0
6,12,8,0,0
11,16,13,0,1
21.25,13,32,0,0
14.53,16,18,0,0
6.85,12,8,0,0
10,16,7,1,0
24.98,16,5,1,0
3.75,12,17,1,0
6.5,11,39,0,0
5,12,4,0,0
4.55,8,45,1,0
6.5,12,8,0,0
10.58,16,9,0,0
9.56,12,23,0,0
12,16,14,1,0
8.5,12,16,1,0
4.1,12,15,1,0
4.5,12,15,1,0
11.5,16,16,0,0
8.9,14,13,0,0
14.21,11,15,0,1
13.65,16,11,0,0
22.2,18,40,1,0
15,18,11,1,0
8.06,13,17,0,0
6.75,12,12,0,0
4.5,11,14,0,0
7,12,26,1,0
7.5,12,27,1,0
7.5,12,16,1,0
8.5,12,2,0,0
8,7,44,0,0
3.5,8,8,0,0
12.5,12,9,0,0
6,12,1,0,1
5.25,16,2,1,0
5,12,6,0,0
3.5,11,17,1,0
11,14,14,0,1
7.5,12,3,0,0
8.5,12,13,0,0
12.5,12,11,0,0
10.75,12,24,0,1
12.5,12,14,1,1
7.8,17,7,0,0
12,17,13,0,0
3.35,12,10,1,0
19.88,12,13,0,1
6,13,7,0,0
4.22,8,39,1,0
3.5,14,6,1,0
12,12,20,0,1
3.35,12,7,1,0
9,12,20,0,1
3.98,14,6,1,0
5,12,39,1,0
12.67,16,15,0,0
17.25,15,31,0,0
9.5,12,25,1,0
14,11,13,0,1
8.5,12,8,0,1
4.25,12,2,1,0
5.8,16,14,0,0
11.25,13,14,0,0
12,18,18,1,1
11.25,12,28,1,0
7.5,16,10,0,1
8.2,14,17,0,0
4.85,12,14,1,0
4.75,12,2,1,0
5.5,16,29,0,0
9.5,11,29,0,0
9.6,12,14,1,0
4.55,13,33,1,0
15.73,16,4,0,0
9.86,15,13,0,0
10,14,24,1,0
5.8,13,5,0,0
7.53,14,1,0,0
9.75,11,37,0,1
13,11,18,0,1
10.28,15,10,1,0
13.45,12,16,0,1
12.57,12,12,0,1
8.63,14,4,1,0
13.26,12,16,0,1
6.85,14,34,0,1
12.47,13,10,0,1
7.14,14,17,0,0
12.5,13,16,1,0
10,10,20,0,0
10,10,12,0,0
8.75,12,30,0,0
9.37,16,26,1,0
11.11,13,13,0,0
5.1,8,21,1,0
7.5,11,3,0,0
3.4,8,29,1,0
4.5,12,3,1,0
6.25,18,27,0,0
20.55,12,33,0,0
8.4,13,17,0,0
8,12,15,1,0
8.5,9,38,0,0
3.75,12,9,0,0
9,12,10,0,0
12.05,16,6,1,0
4.5,12,7,1,0
4.8,9,16,0,0
6.5,10,30,0,0
7.69,12,19,0,0
9.33,12,15,1,0
5,12,12,0,0
6.1,12,33,1,0
10.67,12,36,0,0
3.5,12,25,1,0
10,12,35,0,1
9,13,8,0,1
7.5,12,23,1,0
5.71,18,7,0,0
8.5,17,3,0,0
4,12,8,0,0
5.75,9,34,1,1
5.25,12,2,0,0
3.5,12,34,0,0
4.5,11,2,0,0
5.5,12,11,1,0
6.25,13,4,1,0
8.89,16,22,1,1
5.25,12,45,1,0
10.25,14,26,1,0
6.25,14,12,1,0
4.35,12,3,1,0
17.86,13,36,0,0
7.5,12,9,1,1
6.25,16,7,1,0
4.5,14,14,0,0
6.4,12,6,1,0
4.84,15,1,0,1
4.15,11,4,0,0
5.13,12,5,1,0
5.26,8,38,1,0
7.78,16,6,1,0
13.07,13,9,0,1
8,13,15,1,0
7.67,15,11,1,0
7.5,12,17,0,0
2.85,12,1,0,0
6.36,12,9,0,0
3.5,9,48,0,0
11.35,12,17,0,1
5.5,12,33,1,0
9.15,12,7,0,0
7.96,14,12,1,0
5.65,16,6,1,0
13.45,16,16,0,0
3.65,11,8,1,0
6.25,9,30,0,1
5.15,13,1,0,1
26.29,17,32,0,0
2.01,13,0,0,0
5,12,26,1,0
8.75,11,36,1,0
12.5,14,19,1,0
4,12,12,0,0
4.5,16,21,0,0
6.5,12,11,1,0
5.5,12,10,0,0
6.88,17,15,1,0
6.15,16,16,1,0
7.78,12,23,0,0
12.5,17,13,1,1
8.85,14,19,1,1
4.35,11,20,1,0
11.36,18,5,0,0
8.93,8,47,0,1
3.5,11,33,1,0
26,14,21,0,1
8,12,19,1,0
16,14,20,0,1
5.35,12,13,1,0
23.25,17,25,1,1
8.63,12,18,1,0
18.5,14,13,1,0
22.2,18,8,0,0
16.26,12,14,0,1
19.47,12,9,0,0
